City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cabo San Lucas,MX,89.82,scattered clouds,22.8909,-109.9124,Tesoro Los Cabos
9,Puerto Ayora,EC,75.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
19,Trat,TH,78.87,clear sky,12.5,102.5,สวนหนิง-อัศ
21,Tecoanapa,MX,88.0,overcast clouds,16.5167,-98.75,Hotel Manglares
22,Pemangkat,ID,81.14,few clouds,1.1667,108.9667,Ramah Kost KITA
23,Tabou,CI,77.68,moderate rain,4.423,-7.3528,hotêl doufoulougou
24,Rairangpur,IN,88.41,overcast clouds,22.2676,86.1751,Rairangpur Town PS
29,Georgetown,MY,85.93,light rain,5.4112,100.3354,Cititel Penang
30,Ribeirao Bonito,BR,80.35,overcast clouds,-22.0667,-48.1761,Hotel Pousada Veraneio
34,Faanui,PF,78.57,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
35,Kalmunai,LK,83.59,overcast clouds,7.4167,81.8167,VS Villa
36,Soyo,AO,79.95,clear sky,-6.1349,12.3689,Hotel Mpampa
39,Vanimo,PG,78.51,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
42,Faya,SA,81.12,clear sky,18.3851,42.4509,مقبرة ال مجمل
43,Terra Santa,BR,93.54,clear sky,-2.1042,-56.4869,Hotel Sarah
45,Bengkulu,ID,77.86,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
46,Alofi,NU,79.2,light rain,-19.0595,-169.9187,Taloa Heights
56,Ishigaki,JP,80.33,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
59,Itarema,BR,87.76,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
67,Tazmalt,DZ,88.43,overcast clouds,36.3868,4.3989,Hôtel Numédia
69,Diu,IN,84.02,clear sky,20.7141,70.9822,Hotel Relax Inn
71,Lorengau,PG,80.42,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
72,Atuona,PF,78.85,scattered clouds,-9.8,-139.0333,Villa Enata
75,Iracoubo,GF,75.25,moderate rain,5.4802,-53.2011,Le Gite D Iracoubo
76,Dingle,PH,77.43,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
77,Hilo,US,82.27,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
82,Oranjestad,AW,79.97,broken clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
84,Winneba,GH,83.25,overcast clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
97,Xicotencatl,MX,87.71,scattered clouds,23.0167,-98.8833,Misioneros Vázquez Mireles
100,Lata,PT,87.71,scattered clouds,40.1629,-8.3327,Casa Maquia
103,Oistins,BB,81.77,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
109,Victoria,HK,84.38,light rain,22.2855,114.1577,Mini Hotel Central
110,Laguna,US,89.42,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
111,Jacqueville,CI,84.11,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
112,Mogadishu,SO,78.91,overcast clouds,2.0371,45.3438,Hotel Juba
113,Shache,CN,76.33,broken clouds,38.4167,77.2406,Delong Hotel
114,Kirakira,SB,77.81,overcast clouds,-10.4544,161.9205,SanBiz Lodge
117,Porto Velho,BR,86.05,scattered clouds,-8.7619,-63.9039,Hotel Central
119,Pedernales,DO,85.12,broken clouds,18.0384,-71.744,Hotel Costa Marina
125,Trairi,BR,87.42,scattered clouds,-3.2778,-39.2689,janelas do mar
127,Kavaratti,IN,83.77,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
135,Bumba,CD,81.59,broken clouds,2.1833,22.4667,Hôtel Cape Town
136,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
137,Komsomolskiy,UZ,80.02,clear sky,40.4272,71.7189,Ikathouse
141,Almeria,ES,76.3,overcast clouds,37.1667,-2.3333,Casa Rural El Laurel
144,Hariana,IN,79.97,overcast clouds,31.6378,75.8408,Chetan attachi house
145,Capim Grosso,BR,81.84,broken clouds,-11.3811,-40.0128,Hotel Veloso
146,Cukai,MY,81.09,broken clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
154,Santa Ines,BR,89.01,few clouds,-3.6667,-45.38,HOTEL TOP
159,Maceio,BR,81.84,broken clouds,-9.6658,-35.7353,Poutur Pousada
161,Bam,IR,93.18,clear sky,29.105999999999998,58.357,Bam Tourist Hotel
166,Itamaraca,BR,83.08,scattered clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
167,Sihora,IN,93.42,scattered clouds,23.4833,80.1167,Hotel Yash Raj Sihora
173,Namibe,AO,77.29,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
175,Sao Joao Da Barra,BR,77.0,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
183,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
186,Martapura,ID,78.89,broken clouds,-3.4167,114.85,Montana Hotel Syariah
191,Mayumba,GA,79.36,scattered clouds,-3.432,10.6554,LIKWALE LODGE
195,Pemba,MZ,78.19,clear sky,-12.974,40.5178,Guesthouse Samotina
205,Sao Jose Da Coroa Grande,BR,81.93,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
207,Half Moon Bay,US,79.29,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
209,Hithadhoo,MV,84.09,overcast clouds,-0.6,73.0833,Scoop Guest House
210,Hami,CN,79.81,clear sky,42.8,93.45,Laoyutang Resort
211,Lazaro Cardenas,MX,85.95,overcast clouds,17.9583,-102.2,Hotel Quinta Antigua
213,Tayu,ID,78.35,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
217,Kilindoni,TZ,78.22,few clouds,-7.9139,39.6668,Bustani B&B
219,Kupang,ID,75.96,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
221,Bahia Honda,CU,85.71,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
231,Frejus,FR,78.75,clear sky,43.4329,6.7352,Hotel Bellevue
238,Touros,BR,85.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
240,Harlingen,US,86.32,broken clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
241,Monsenhor Gil,BR,90.59,clear sky,-5.5642,-42.6078,VB Hotel
242,Muros,ES,82.9,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
244,Ouricuri,BR,79.74,overcast clouds,-7.8825,-40.0817,Sertão Pousada
246,Jacareacanga,BR,93.79,clear sky,-6.2222,-57.7528,Casa do Ian😎
252,Coahuayana,MX,92.68,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
253,Tlapehuala,MX,90.5,broken clouds,18.2167,-100.5167,Iglesia del Dios vivocolumna y apollo de la verdad
254,Matamoros,MX,83.1,broken clouds,25.5333,-103.25,Quinta Belem
264,Arrecife,ES,75.18,scattered clouds,28.963,-13.5477,Hotel Lancelot
266,Axim,GH,81.0,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
267,Todos Santos,MX,89.31,few clouds,23.45,-110.2167,Hotel California Todos Santos
271,Sumbe,AO,80.44,clear sky,-11.2061,13.8437,Hotel Ritz Sumbe
272,Kavieng,PG,78.3,light rain,-2.5744,150.7967,Nusa Island Retreat
274,Buluang,PH,78.12,broken clouds,13.3068,123.3425,Enon Beach Resort
275,Liuzhou,CN,79.56,light rain,24.3126,109.3892,Linjiang Inn
279,Mantua,IT,76.08,broken clouds,45.1667,10.7833,Hotel la Favorita
280,Salalah,OM,84.29,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
281,Samarai,PG,78.71,overcast clouds,-10.6167,150.6667,Nuli Sapi
283,Tarakan,ID,82.47,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
286,Galle,LK,81.28,broken clouds,6.0367,80.217,Amangalla
290,Bairiki,KI,82.4,light rain,1.3292,172.9752,Tarawa Boutique Hotel
296,Obidos,BR,89.83,clear sky,-1.9175,-55.5181,Hotel Amazônia Center
301,Mbour,SN,83.25,broken clouds,14.422,-16.9638,Tama Lodge
302,Mulege,MX,81.91,clear sky,26.8833,-111.9833,Casa Granada
305,Saint George,US,85.35,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
309,San Patricio,US,86.09,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
310,Pochutla,MX,88.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
311,Tunceli,TR,83.26,broken clouds,39.1083,39.5471,Grand Hotel Şaroğlu
312,Butaritari,KI,82.72,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
319,Zhanaozen,KZ,80.58,clear sky,43.3,52.8,K.korabay 28A
320,Bubaque,GW,78.75,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
321,Sri Aman,MY,75.29,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
323,Mansa,IN,92.84,broken clouds,29.9833,75.3833,STARiHOTEL Mansa
324,Oussouye,SN,86.68,overcast clouds,12.485,-16.5469,Auberge du Routard
327,Janakpur,NP,88.77,scattered clouds,26.7183,85.9065,Hotel Sita Palace
334,Limbang,MY,82.51,overcast clouds,4.75,115.0,Purnama Hotel
335,Cayenne,GF,80.1,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
336,Xuddur,SO,82.65,overcast clouds,4.1213,43.8894,Banjanay Hotel
337,Bergerac,FR,84.78,clear sky,44.8333,0.5,"The Originals City, Hôtel de Bordeaux, Bergerac (Inter-Hotel)"
344,Nouakchott,MR,80.53,scattered clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
345,Cockburn Town,TC,80.42,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
346,Algiers,DZ,78.62,broken clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
347,Ixtapa,MX,81.63,broken clouds,20.7,-105.2,Hotel Plaza Providencia
348,Labuhan,ID,78.35,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
351,Nurota,UZ,91.49,broken clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
352,El Tigre,VE,88.63,overcast clouds,8.8875,-64.2454,Hotel Santa Cruz
364,Alta Floresta,BR,86.63,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
365,Cururupu,BR,89.92,light rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
378,Kutum,SD,89.22,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
380,Acarau,BR,87.01,few clouds,-2.8856,-40.12,castelo pizzaria
386,Belmonte,BR,82.9,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
389,Houma,US,84.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
391,Alcantara,BR,91.6,few clouds,-2.4089,-44.4147,Pousada da Josefa
396,Alindao,CF,86.85,overcast clouds,5.0267,21.2088,OCHA Alindao
403,Cabedelo,BR,83.07,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
404,Gemena,CD,78.71,light rain,3.25,19.7667,Hôtel Goshen
405,Fernley,US,78.8,clear sky,39.608000000000004,-119.2518,Super 8 by Wyndham Fernley
407,Bandarbeyla,SO,79.59,overcast clouds,9.4942,50.8122,JABIR HOTEL
411,Morant Bay,JM,87.42,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
413,Irara,BR,80.38,broken clouds,-12.05,-38.7667,Hotel Avenida
416,Benguela,AO,81.68,clear sky,-12.5763,13.4055,Hotel Praia Morena
417,Faranah,GN,85.33,light rain,10.0404,-10.7434,Chez mon oncle
418,Padang,ID,78.55,overcast clouds,-0.9492,100.3543,Mercure Padang
420,Ojinaga,MX,83.35,clear sky,29.5667,-104.4167,Suites Las Palmas
422,Eydhafushi,MV,83.41,overcast clouds,5.1033,73.0708,Soneva Fushi
424,Chino Valley,US,79.11,clear sky,34.7575,-112.4538,Primrose Inn & Suites
425,Dublin,US,82.24,clear sky,37.7021,-121.9358,Pleasanton Marriott
426,Illora,ES,85.82,few clouds,37.2877,-3.8811,Cortijo Villa Paraiso en Illora -Granada
431,Bosaso,SO,89.55,scattered clouds,11.2842,49.1816,Red Sea Hotel
