City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cabo San Lucas,MX,22.8909,-109.9124,89.82,55,40,4.27,scattered clouds
1,Mataura,NZ,-46.1927,168.8643,49.48,96,99,1.86,overcast clouds
2,Iqaluit,CA,63.7506,-68.5145,34.7,74,94,5.99,light rain
3,New Norfolk,AU,-42.7826,147.0587,46.71,82,100,1.99,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,73.99,66,0,13.35,clear sky
5,Chokurdakh,RU,70.6333,147.9167,52.63,55,26,9.04,scattered clouds
6,Thinadhoo,MV,0.5333,72.9333,84.27,71,88,18.03,overcast clouds
7,Barranca,PE,-10.75,-77.7667,68.02,76,98,8.75,overcast clouds
8,Tasiilaq,GL,65.6145,-37.6368,41.16,80,12,8.9,few clouds
9,Puerto Ayora,EC,-0.7393,-90.3518,75.54,85,83,7.0,broken clouds
10,Ostersund,SE,63.1792,14.6357,64.62,44,0,4.61,clear sky
11,Carnarvon,AU,-24.8667,113.6333,66.31,60,1,17.65,clear sky
12,Mar Del Plata,AR,-38.0023,-57.5575,61.09,40,35,1.01,light rain
13,Ushuaia,AR,-54.8,-68.3,30.61,86,99,1.25,overcast clouds
14,Kurakh,RU,41.5849,47.7831,58.91,86,54,1.88,broken clouds
15,Upernavik,GL,72.7868,-56.1549,31.39,89,100,3.74,overcast clouds
16,Makaha,US,21.4694,-158.2175,72.95,73,62,3.76,broken clouds
17,Bluff,NZ,-46.6,168.3333,49.8,67,86,6.55,overcast clouds
18,Broome,US,42.2506,-75.833,67.62,60,40,3.0,scattered clouds
19,Trat,TH,12.5,102.5,78.87,89,6,1.61,clear sky
20,Mahebourg,MU,-20.4081,57.7,73.26,72,0,10.2,clear sky
21,Tecoanapa,MX,16.5167,-98.75,88.0,59,89,5.79,overcast clouds
22,Pemangkat,ID,1.1667,108.9667,81.14,79,18,3.49,few clouds
23,Tabou,CI,4.423,-7.3528,77.68,90,98,8.48,moderate rain
24,Rairangpur,IN,22.2676,86.1751,88.41,49,100,3.31,overcast clouds
25,Pacific Grove,US,36.6177,-121.9166,68.58,83,1,5.01,clear sky
26,Hobart,AU,-42.8794,147.3294,47.05,75,100,1.01,overcast clouds
27,Jamestown,US,42.097,-79.2353,66.18,44,60,4.0,broken clouds
28,Kajaani,FI,64.2273,27.7285,59.05,55,0,6.91,clear sky
29,Georgetown,MY,5.4112,100.3354,85.93,74,20,0.92,light rain
30,Ribeirao Bonito,BR,-22.0667,-48.1761,80.35,45,91,5.82,overcast clouds
31,Hasaki,JP,35.7333,140.8333,61.29,73,88,7.18,overcast clouds
32,Kapaa,US,22.0752,-159.319,73.38,76,64,3.31,broken clouds
33,Quarai,BR,-30.3875,-56.4514,60.78,52,6,8.7,clear sky
34,Faanui,PF,-16.4833,-151.75,78.57,66,100,15.37,overcast clouds
35,Kalmunai,LK,7.4167,81.8167,83.59,75,100,2.77,overcast clouds
36,Soyo,AO,-6.1349,12.3689,79.95,77,2,11.3,clear sky
37,Port Alfred,ZA,-33.5906,26.891,61.9,71,100,10.02,overcast clouds
38,La Palma,US,33.8464,-118.0467,66.9,80,90,1.01,overcast clouds
39,Vanimo,PG,-2.6741,141.3028,78.51,87,100,7.36,moderate rain
40,Geraldton,AU,-28.7667,114.6,54.01,87,39,14.16,scattered clouds
41,Busselton,AU,-33.65,115.3333,51.08,85,98,5.86,overcast clouds
42,Faya,SA,18.3851,42.4509,81.12,13,1,14.5,clear sky
43,Terra Santa,BR,-2.1042,-56.4869,93.54,45,7,3.89,clear sky
44,Hermanus,ZA,-34.4187,19.2345,57.9,77,58,8.59,light rain
45,Bengkulu,ID,-3.8004,102.2655,77.86,89,100,3.47,overcast clouds
46,Alofi,NU,-19.0595,-169.9187,79.2,76,46,3.49,light rain
47,Moussoro,TD,13.6408,16.4901,109.2,8,11,14.16,few clouds
48,Castro,BR,-24.7911,-50.0119,57.42,97,100,2.39,overcast clouds
49,Tongliao,CN,43.6125,122.2653,65.62,50,100,18.61,overcast clouds
50,Altay,CN,47.8667,88.1167,65.8,27,0,8.81,clear sky
51,Pevek,RU,69.7008,170.3133,37.53,66,30,1.1,scattered clouds
52,Dikson,RU,73.5069,80.5464,30.74,97,100,15.52,light snow
53,Los Llanos De Aridane,ES,28.6585,-17.9182,68.13,78,75,9.1,broken clouds
54,Ahipara,NZ,-35.1667,173.1667,57.92,78,9,12.17,clear sky
55,Port Elizabeth,ZA,-33.918,25.5701,58.1,73,100,15.75,overcast clouds
56,Ishigaki,JP,24.3448,124.1572,80.33,87,100,11.36,overcast clouds
57,Yellowknife,CA,62.456,-114.3525,50.32,54,99,4.0,overcast clouds
58,Bethel,US,41.3712,-73.414,57.88,79,90,4.0,overcast clouds
59,Itarema,BR,-2.9248,-39.9167,87.76,58,15,13.65,few clouds
60,Bagotville,AU,-28.9833,153.4167,51.78,93,47,7.23,scattered clouds
61,Bredasdorp,ZA,-34.5322,20.0403,55.27,86,24,7.76,few clouds
62,Antropovo,RU,58.3988,43.0066,52.03,54,64,3.22,light rain
63,Longyearbyen,SJ,78.2186,15.6401,35.44,69,75,10.36,broken clouds
64,Nizhnevartovsk,RU,60.9344,76.5531,48.22,87,75,8.95,broken clouds
65,Decatur,US,39.8403,-88.9548,68.32,64,100,7.63,overcast clouds
66,Vaini,TO,-21.2,-175.2,71.76,88,90,5.75,light rain
67,Tazmalt,DZ,36.3868,4.3989,88.43,30,96,8.43,overcast clouds
